date,action,ticker,price,shares,fee,cash_after,reason
2023-08-21,SELL,CLAS-B.ST,94.25,316457,20579.9898525,58109830.435618415,REBALANCE_OUT
2023-08-21,SELL,VOLV-B.ST,223.8000030517578,129622,20016.488756946714,87099217.94243643,REBALANCE_OUT
2023-08-21,BUY,BULTEN.ST,68.62837219238281,423047,20032.78860990097,58046158.182955556,REBALANCE_IN
2023-08-21,BUY,NIBE-B.ST,76.25367736816406,380743,20032.807178708954,28993071.493589956,REBALANCE_IN
2023-08-21,BUY,NOTE.ST,153.959716796875,188186,19991.413652944335,16.814800292253494,REBALANCE_IN
2023-08-28,SELL,EMBRAC-B.ST,143.7899932861328,187563,18609.08093240158,26951090.24459482,REBALANCE_OUT
2023-08-28,SELL,NIBE-B.ST,82.5,380743,21673.795275,58340713.949319825,REBALANCE_OUT
2023-08-28,BUY,CLAS-B.ST,92.43058776855469,210394,13418.320347254334,38880454.54599528,REBALANCE_IN
2023-09-04,BUY,EQT.ST,214.9884490966797,45212,6706.839854785766,29153689.945581414,REBALANCE_IN
2023-09-04,BUY,VOLV-B.ST,208.31002807617188,46661,6706.768411842956,19427028.957107313,REBALANCE_IN
2023-09-11,SELL,CLAS-B.ST,116.0,210394,16839.93576,43815893.021347314,REBALANCE_OUT
2023-09-11,SELL,EQT.ST,215.3000030517578,45212,6716.559179203491,53543320.20014419,REBALANCE_OUT
2023-09-11,SELL,VOLV-B.ST,220.5,46661,7099.237845,63824971.46229918,REBALANCE_OUT
2023-09-11,BUY,HEXA-B.ST,95.55421447753906,333972,22019.578161069945,31890519.76664544,REBALANCE_IN
2023-09-11,BUY,NIBE-B.ST,76.78430938720703,415039,21989.25325879234,47.52962962910533,REBALANCE_IN
2023-09-14,SELL,BULTEN.ST,69.5,423047,20287.218885,29381526.81074463,STOP_LOSS
2023-09-15,SELL,NIBE-B.ST,75.0,415039,21478.268249999997,60487973.542494625,STOP_LOSS
2023-09-18,BUY,CLAS-B.ST,111.67975616455078,270809,20868.27933014442,30223222.175998647,REBALANCE_IN
2023-09-18,BUY,NIBE-B.ST,72.12654876708984,418741,20839.616778523177,39.401940155774355,REBALANCE_IN
2023-09-22,SELL,NIBE-B.ST,67.23999786376953,418741,19427.739322376176,28136755.608090498,STOP_LOSS
2023-09-25,BUY,EQT.ST,210.11122131347656,26782,3882.7671231600953,22505674.11174981,REBALANCE_IN
2023-09-25,BUY,NIBE-B.ST,64.61909484863281,87084,3882.8295865008545,16874502.026364967,REBALANCE_IN
2023-09-25,BUY,SKA-B.ST,166.23072814941406,33852,3882.7974004266357,11243376.619650576,REBALANCE_IN
2023-09-25,BUY,VOLV-B.ST,217.14193725585938,25915,3882.790979750061,5612260.52468523,REBALANCE_IN
2023-10-02,SELL,SKA-B.ST,180.0,33852,4204.4184,11701416.10628523,REBALANCE_OUT
2023-10-02,SELL,CLAS-B.ST,117.5,270809,21955.839675,43499517.76661023,REBALANCE_OUT
2023-10-02,SELL,EQT.ST,216.89999389648438,26782,4008.2207892095944,49304525.18235666,REBALANCE_OUT
2023-10-02,SELL,VOLV-B.ST,226.0,25915,4041.1850999999997,55157273.99725667,REBALANCE_OUT
2023-10-02,BUY,BULTEN.ST,64.36804962158203,428452,19029.247521561585,27559625.15326904,REBALANCE_IN
2023-10-02,BUY,PCELL.ST,50.400001525878906,546440,19002.998015322875,45.3214524500072,REBALANCE_IN
2023-10-04,SELL,NOTE.ST,151.60000610351562,188186,19685.00913653137,28509359.06091211,STOP_LOSS
2023-10-04,SELL,PCELL.ST,46.11000061035156,546440,17385.48062612915,53688322.31380649,STOP_LOSS
2023-10-09,SELL,HEXA-B.ST,94.0999984741211,333972,21684.467636375426,85093402.53656928,REBALANCE_OUT
2023-10-09,BUY,NOTE.ST,136.12876892089844,312547,29357.18045454483,42517407.016194694,REBALANCE_IN
2023-10-09,BUY,PCELL.ST,46.36000061035156,916481,29316.76120636917,30.53561271727085,REBALANCE_IN
2023-10-16,SELL,NOTE.ST,137.6999969482422,312547,29696.02745286575,43008055.454342104,REBALANCE_OUT
2023-10-16,SELL,BULTEN.ST,69.5999984741211,428452,20575.978396901548,72807738.02217934,REBALANCE_OUT
2023-10-16,BUY,CEVI.ST,128.0692901611328,94750,8372.85001750946,60664799.92939449,REBALANCE_IN
2023-10-16,BUY,CLAS-B.ST,119.4218521118164,101611,8372.855932304306,48521853.25852841,REBALANCE_IN
2023-10-16,BUY,SKA-B.ST,162.1729278564453,74825,8372.866635532378,36378891.06503436,REBALANCE_IN
2023-10-16,BUY,VOLV-B.ST,215.6699676513672,56264,8372.7739913562,24236063.231106482,REBALANCE_IN
2023-10-20,SELL,CEVI.ST,122.5999984741211,94750,8015.281400241852,35844397.805129215,STOP_LOSS
2023-10-23,SELL,SKA-B.ST,165.60000610351562,74825,8549.804115119934,48226868.457709655,REBALANCE_OUT
2023-10-23,SELL,CLAS-B.ST,118.19999694824219,101611,8287.189724036407,60229001.15789346,REBALANCE_OUT
2023-10-23,SELL,VOLV-B.ST,219.60000610351562,56264,8525.34657295166,72576050.5547287,REBALANCE_OUT
2023-10-23,BUY,CEVI.ST,127.09165954589844,285526,25038.701496616515,36263038.66972989,REBALANCE_IN
2023-10-23,BUY,EMBRAC-B.ST,107.45999908447266,337223,25004.208457171553,51.19000959396362,REBALANCE_IN
2023-10-31,SELL,PCELL.ST,43.540000915527344,916481,27533.472669553754,39876101.29640345,STOP_LOSS
2023-11-06,BUY,BEIJ-B.ST,110.96692657470703,39927,3057.0977693703458,35442467.72128575,REBALANCE_IN
2023-11-06,BUY,BULTEN.ST,57.69969940185547,76788,3057.1447171920777,31008766.05889888,REBALANCE_IN
2023-11-06,BUY,EQT.ST,211.86703491210938,20912,3057.0887695166016,26575145.536047332,REBALANCE_IN
2023-11-06,BUY,HEXA-B.ST,95.15524291992188,46562,3057.1267103778073,22141469.988499552,REBALANCE_IN
2023-11-06,BUY,MEKO.ST,87.05427551269531,50895,3057.1328730308533,17707785.50340789,REBALANCE_IN
2023-11-06,BUY,NEWA-B.ST,69.74359130859375,63528,3057.162899370117,13274057.471856177,REBALANCE_IN
2023-11-06,BUY,NOTE.ST,141.20962524414062,31376,3057.1093091455077,8840407.160886876,REBALANCE_IN
2023-11-06,BUY,PCELL.ST,47.349998474121094,93572,3057.1374994821167,4406715.966166935,REBALANCE_IN
2023-11-13,SELL,PCELL.ST,43.939998626708984,93572,2836.971950533905,8515432.545714814,STOP_LOSS
2023-11-13,SELL,MEKO.ST,102.69999694824219,50895,3606.5722778297422,13738742.318117771,REBALANCE_OUT
2023-11-13,SELL,CEVI.ST,157.39999389648438,285526,31009.835553528443,58649523.13985184,REBALANCE_OUT
2023-11-13,SELL,EQT.ST,225.39999389648438,20912,3252.359623930664,63359835.45259119,REBALANCE_OUT
2023-11-13,SELL,BULTEN.ST,61.0,76788,3232.00692,68040671.44567119,REBALANCE_OUT
2023-11-13,BUY,SINT.ST,96.66484832763672,351941,23474.023135840987,33996874.03725855,REBALANCE_IN
2023-11-20,SELL,BEIJ-B.ST,121.30000305175781,39927,3341.7702030747982,38836677.48890301,REBALANCE_OUT
2023-11-20,SELL,EMBRAC-B.ST,144.60000610351562,337223,33646.08902218963,87565479.25812668,REBALANCE_OUT
2023-11-20,SELL,NOTE.ST,160.10000610351562,31376,3466.075476137695,92585310.97415444,REBALANCE_OUT
2023-11-20,SELL,NEWA-B.ST,86.02999877929688,63528,3771.0664960913086,98046853.67010953,REBALANCE_OUT
2023-11-20,SELL,HEXA-B.ST,101.9000015258789,46562,3273.8208310231016,102788247.72032648,REBALANCE_OUT
2023-11-20,SELL,SINT.ST,105.0,351941,25498.12545,139716554.59487647,REBALANCE_OUT
2023-11-20,BUY,PCELL.ST,45.61000061035156,1531643,48202.18433374008,69810114.24570203,REBALANCE_IN
2023-11-22,SELL,PCELL.ST,42.0,1531643,44387.01414,134094733.23156202,STOP_LOSS
2023-11-27,BUY,PCELL.ST,41.86000061035156,1601704,46262.65798814575,67001140.15597133,REBALANCE_IN
2023-11-29,SELL,NIBE-B.ST,61.20000076293945,87084,3677.383197843475,72327003.63921331,STOP_LOSS
2023-12-04,BUY,BULTEN.ST,63.7197380065918,283770,12476.407537350082,54232777.177545406,REBALANCE_IN
2023-12-04,BUY,CEVI.ST,168.9341583251953,107034,12476.372104503478,36138602.10326195,REBALANCE_IN
2023-12-04,BUY,ELAN-B.ST,80.944091796875,223385,12476.370202770995,18044429.787014253,REBALANCE_IN
2023-12-04,BUY,NIBE-B.ST,61.2387809753418,294453,12442.040514427299,44.97196750715375,REBALANCE_IN
2023-12-11,SELL,ELAN-B.ST,92.4000015258789,223385,14242.134295192336,20626577.178530775,REBALANCE_OUT
2023-12-11,SELL,CEVI.ST,184.0,107034,13589.036639999998,40307244.14189078,REBALANCE_OUT
2023-12-11,SELL,BULTEN.ST,73.4000015258789,283770,14371.815718769072,61121590.75917067,REBALANCE_OUT
2023-12-18,SELL,PCELL.ST,48.79999923706055,1601704,53932.57624481781,139230812.16092268,REBALANCE_OUT
2023-12-18,SELL,NIBE-B.ST,74.69999694824219,294453,15176.990358966521,161211273.37196445,REBALANCE_OUT
2023-12-18,BUY,AZN.ST,1339.672119140625,12033,11122.989480637207,145079875.77286467,REBALANCE_IN
2023-12-18,BUY,EQT.ST,274.1212463378906,58810,11123.538643020629,128947681.7370903,REBALANCE_IN
2023-12-18,BUY,HM-B.ST,169.8838348388672,94895,11123.577289853667,112815431.65276615,REBALANCE_IN
2023-12-18,BUY,NOTE.ST,141.0178985595703,114319,11123.507350347747,96683282.9999843,REBALANCE_IN
2023-12-18,BUY,SAVE.ST,163.2538604736328,98748,11123.484627694701,80551167.3013063,REBALANCE_IN
2023-12-18,BUY,SHB-B.ST,119.5980453491211,134794,11123.558258104706,64418944.81825878,REBALANCE_IN
2023-12-18,BUY,SINT.ST,97.59432220458984,165185,11123.571498221969,48286703.13339538,REBALANCE_IN
2023-12-18,BUY,SKA-B.ST,168.0497589111328,95930,11123.49922691803,32154566.26182349,REBALANCE_IN
2023-12-18,BUY,VOLV-B.ST,246.48672485351562,65403,11123.470173260192,16022471.526055748,REBALANCE_IN
2023-12-27,SELL,NOTE.ST,147.39999389648438,114319,11626.927732554015,32861464.500575393,REBALANCE_OUT
2023-12-27,SELL,EQT.ST,280.6000061035156,58810,11386.439587673949,49352164.41993547,REBALANCE_OUT
2023-12-27,BUY,LUND-B.ST,541.2618408203125,45589,17026.154382198485,24659552.204396047,REBALANCE_IN
2024-01-04,SELL,HM-B.ST,169.33999633789062,94895,11087.96807721405,40717983.188802965,STOP_LOSS
2024-01-04,SELL,SAVE.ST,163.8000030517578,98748,11160.696663934936,56881745.19349401,STOP_LOSS
2024-01-04,SELL,AZN.ST,1401.0,12033,11632.180769999999,73728346.01272401,REBALANCE_OUT
2024-01-04,SELL,VOLV-B.ST,254.89999389648438,65403,11503.14476756012,90388067.16876823,REBALANCE_OUT
2024-01-04,BUY,NEWA-B.ST,91.85297393798828,328017,20789.242497029798,60237940.9740541,REBALANCE_IN
2024-01-04,BUY,RATO-B.ST,32.67479705810547,922097,20789.239316592637,30087819.391849626,REBALANCE_IN
2024-01-11,SELL,SINT.ST,104.5,165185,11910.664424999999,47337741.22742462,REBALANCE_OUT
2024-01-11,SELL,SKA-B.ST,175.5500030517578,95930,11619.953137001037,64166633.067042746,REBALANCE_OUT
2024-01-11,SELL,SHB-B.ST,133.60000610351562,134794,12425.850663674926,82162686.43909636,REBALANCE_OUT
2024-01-11,SELL,LUND-B.ST,540.0,45589,16986.4614,106763759.97769636,REBALANCE_OUT
2024-01-11,BUY,NIBE-B.ST,64.46187591552734,828115,36833.47399791298,53345080.12991152,REBALANCE_IN
2024-01-11,BUY,NOTE.ST,130.18511962890625,409480,36782.659922094725,94.68434489518404,REBALANCE_IN
2024-01-17,SELL,NIBE-B.ST,60.0,828115,34283.960999999996,49652710.72334489,STOP_LOSS
2024-01-18,SELL,NOTE.ST,128.60000610351562,409480,36334.80004449463,102275506.42256798,STOP_LOSS
2024-01-18,BUY,CEVI.ST,195.525634765625,65384,8821.13119142578,89482437.18786094,REBALANCE_IN
2024-01-18,BUY,MEKO.ST,103.19075012207031,123891,8821.239604127655,76689210.72488339,REBALANCE_IN
2024-01-18,BUY,PCELL.ST,36.900001525878906,346461,8821.243885773696,63895978.05234009,REBALANCE_IN
2024-01-18,BUY,SAVE.ST,149.43936157226562,85549,8821.227680770568,51102768.881513566,REBALANCE_IN
2024-01-18,BUY,SHB-B.ST,122.72119903564453,104174,8821.20714995407,38309589.48602438,REBALANCE_IN
2024-01-18,BUY,SINT.ST,94.34117126464844,135512,8821.208952286377,25516407.476657055,REBALANCE_IN
2024-01-18,BUY,VOLV-B.ST,234.85330200195312,54435,8821.12525118866,12723346.856929548,REBALANCE_IN
2024-01-22,SELL,NEWA-B.ST,91.98999786376953,328017,20820.25535920326,42876809.730850436,STOP_LOSS
2024-01-22,SELL,RATO-B.ST,32.29999923706055,922097,20550.775353582114,72639991.35199267,STOP_LOSS
2024-01-22,SELL,SAVE.ST,153.10000610351562,85549,9037.311171283263,85728506.46297105,STOP_LOSS
2024-01-25,SELL,CEVI.ST,186.0,65384,8391.38256,97881539.08041105,STOP_LOSS
2024-01-25,SELL,SINT.ST,99.0,135512,9256.824719999999,111287970.25569105,REBALANCE_OUT
2024-01-25,SELL,PCELL.ST,40.400001525878906,346461,9657.947200773697,125275337.23714781,REBALANCE_OUT
2024-01-25,BUY,EQT.ST,271.8638916015625,41891,7858.168695325928,113878828.78537142,REBALANCE_IN
2024-01-25,BUY,HM-B.ST,155.37376403808594,73298,7858.1244479599,102482384.50445984,REBALANCE_IN
2024-01-25,BUY,HPOL-B.ST,109.56246185302734,103946,7858.1199652445985,91085946.72471982,REBALANCE_IN
2024-01-25,BUY,LUND-B.ST,526.5322875976562,21629,7857.973125430298,79689721.90314469,REBALANCE_IN
2024-01-25,BUY,NEWA-B.ST,89.83465576171875,126773,7858.140082267456,68293254.94818205,REBALANCE_IN
2024-01-25,BUY,NOTE.ST,129.41819763183594,87998,7858.094363092346,56896854.298612654,REBALANCE_IN
2024-01-25,BUY,RATO-B.ST,30.9863224029541,367538,7858.169164702492,45500345.16611101,REBALANCE_IN
2024-01-25,BUY,SAVE.ST,147.4792022705078,77222,7858.160880835876,34103848.04749702,REBALANCE_IN
2024-01-25,BUY,SKA-B.ST,161.33335876464844,70590,7858.080038685607,22707468.1722618,REBALANCE_IN
2024-02-01,SELL,HM-B.ST,146.02000427246094,73298,7385.0522484823605,33403057.39317616,STOP_LOSS
2024-02-01,SELL,NOTE.ST,147.10000610351562,87998,8931.709372597046,46338632.020900734,REBALANCE_OUT
2024-02-01,BUY,CEVI.ST,201.88021850585938,38255,5328.820153669739,38610375.441805415,REBALANCE_IN
2024-02-01,BUY,CLAS-B.ST,142.84169006347656,54067,5328.884943096771,30882024.90020033,REBALANCE_IN
2024-02-01,BUY,HEXA-B.ST,117.7969970703125,65562,5328.874638127441,23153689.303638376,REBALANCE_IN
2024-02-01,BUY,SINT.ST,92.94696807861328,83091,5328.909001987839,15425303.870016333,REBALANCE_IN
2024-02-08,SELL,MEKO.ST,106.4000015258789,123891,9095.581786439438,28598210.877272557,REBALANCE_OUT
2024-02-08,SELL,CEVI.ST,261.5,38255,6902.540924999999,38594990.83634756,REBALANCE_OUT
2024-02-08,SELL,VOLV-B.ST,259.6000061035156,54435,9750.615169248962,52716566.55342318,REBALANCE_OUT
