date,portfolio_value,cash,positions_count
2021-08-19,6183208,64,3
2021-08-20,6228771,64,3
2021-08-23,6250608,64,3
2021-08-24,6310320,64,3
2021-08-25,6357524,64,3
2021-08-26,6399101,64,3
2021-08-27,7008114,55,3
2021-08-30,6986678,55,3
2021-08-31,7007223,55,3
2021-09-01,7025267,55,3
2021-09-02,7129287,55,3
2021-09-03,7263914,145,4
2021-09-06,7318465,145,4
2021-09-07,7229714,145,4
2021-09-08,7130394,145,4
2021-09-09,7120004,145,4
2021-09-10,7554836,8,3
2021-09-13,7553504,8,3
2021-09-14,7493084,8,3
2021-09-15,7431956,8,3
2021-09-16,7450220,8,3
2021-09-17,7332139,8,3
2021-09-20,7237377,8,3
2021-09-21,7962610,5376520,2
2021-09-22,8003819,5376520,2
2021-09-23,8008857,5376520,2
2021-09-24,8004974,36,3
2021-09-27,8075331,36,3
2021-09-28,7937589,36,3
2021-09-29,7894944,36,3
2021-09-30,7941546,36,3
2021-10-01,7907185,137,3
2021-10-04,7936460,137,3
2021-10-05,8045967,137,3
2021-10-06,8021576,137,3
2021-10-07,8199599,137,3
2021-10-08,9023001,48,3
2021-10-11,9058176,48,3
2021-10-12,8969995,48,3
2021-10-13,9052324,48,3
2021-10-14,9147654,48,3
2021-10-15,9249256,60,3
2021-10-18,9173472,60,3
2021-10-19,9175157,60,3
2021-10-20,9197512,60,3
2021-10-21,9164210,60,3
2021-10-22,9715883,112,3
2021-10-25,9616998,112,3
2021-10-26,9682364,112,3
2021-10-27,9616906,112,3
2021-10-28,9633020,112,3
2021-10-29,10160071,21,3
2021-11-01,10191378,21,3
2021-11-02,10295357,21,3
2021-11-03,10452542,21,3
2021-11-04,10556310,21,3
2021-11-05,10854526,6,3
2021-11-08,10997903,6,3
2021-11-09,10975002,6,3
2021-11-10,11064204,6,3
2021-11-11,11112406,6,3
2021-11-12,11341347,130,3
2021-11-15,11318968,130,3
2021-11-16,11421416,130,3
2021-11-17,11523914,130,3
2021-11-18,11486794,130,3
2021-11-19,11639250,92,3
2021-11-22,11700987,92,3
2021-11-23,11582826,92,3
2021-11-24,11668976,92,3
2021-11-25,11797587,92,3
2021-11-26,12771686,78,4
2021-11-29,12971795,3320790,3
2021-11-30,12717531,3320790,3
2021-12-01,12991310,3320790,3
2021-12-02,12567676,3320790,3
2021-12-03,13697841,6,3
2021-12-06,13553242,6,3
2021-12-07,13964419,4521691,2
2021-12-08,14058163,4521691,2
2021-12-09,14023856,4521691,2
2021-12-10,15060392,155,3
2021-12-13,14937019,155,3
2021-12-14,14868272,155,3
2021-12-15,14984027,155,3
2021-12-16,15158025,155,3
2021-12-17,16677475,11,3
2021-12-20,16531545,11,3
2021-12-21,16793662,11,3
