date,portfolio_value
2022-07-06,134813.1949338913
2022-07-07,138279.59095287323
2022-07-08,138601.20995998383
2022-07-11,138251.30587673187
2022-07-12,138756.9146528244
2022-07-13,137111.03431224823
2022-07-14,135674.35852336884
2022-07-15,135246.6476354599
2022-07-18,137978.2108411789
2022-07-19,138727.5418844223
2022-07-20,139020.5609998703
2022-07-21,142091.19273662567
2022-07-22,143913.07613658905
2022-07-25,140706.7618818283
2022-07-26,138707.3655309677
2022-07-27,138785.9728193283
2022-07-28,143151.48451519012
2022-07-29,146504.29907894135
2022-08-01,145336.09981060028
2022-08-02,143667.674826622
2022-08-03,145722.35809230804
2022-08-04,147709.1663160324
2022-08-05,144879.9344778061
2022-08-08,144514.39240169525
2022-08-09,141052.81277370453
2022-08-10,144231.13399410248
2022-08-11,140001.13197994232
2022-08-12,140481.0593214035
2022-08-15,140741.30075740814
2022-08-16,140970.87146663666
2022-08-17,139130.7609052658
2022-08-18,141693.12493419647
2022-08-19,139086.25704097748
2022-08-22,135890.76736354828
2022-08-23,135242.55385494232
2022-08-24,135670.6515417099
2022-08-25,136861.5725622177
2022-08-26,133988.36062908173
2022-08-29,131395.94853496552
2022-08-30,133262.30573940277
2022-08-31,133211.12818813324
2022-09-01,130331.61757564545
2022-09-02,132455.00775051117
2022-09-05,130762.17758464813
2022-09-06,131596.13797283173
2022-09-07,131159.19043254852
2022-09-08,132298.09537029266
2022-09-09,135133.37034893036
2022-09-12,138212.54431438446
2022-09-13,134515.3914899826
2022-09-14,133905.55715465546
2022-09-15,133195.5768995285
2022-09-16,129935.59167003632
2022-09-19,128516.8974981308
2022-09-20,126826.01840877533
2022-09-21,127995.71636867523
2022-09-22,124625.41391658783
2022-09-23,123948.86399745941
2022-09-26,123293.16705989838
2022-09-27,124161.94400310516
2022-09-28,125518.03187847137
2022-09-29,123385.94154262543
2022-09-30,128364.95217037201
2022-10-03,129363.80558681488
2022-10-04,133062.93913936615
2022-10-05,128785.46638774872
2022-10-06,129479.81048107147
2022-10-07,125978.80777645111
2022-10-10,125364.33209896088
2022-10-11,123419.20401668549
2022-10-12,122241.67759990692
2022-10-13,122885.9350309372
2022-10-14,123988.09537410736
2022-10-17,126692.21088314056
2022-10-18,128494.47586345673
2022-10-19,121079.38621425629
2022-10-20,119617.21164989471
2022-10-21,118384.09005641937
2022-10-24,119631.1222410202
2022-10-25,124209.05887126923
2022-10-26,125890.94029903412
2022-10-27,124839.47012615204
2022-10-28,124607.31679821014
2022-10-31,123886.24271297455
2022-11-01,124494.89063930511
2022-11-02,125219.03452205658
2022-11-03,122936.88706874847
2022-11-04,125339.65318965912
2022-11-07,126012.60012722015
2022-11-08,128407.71332454681
2022-11-09,125945.15553569794
2022-11-10,133056.80684947968
2022-11-11,136319.82291316986
2022-11-14,135957.06075954437
2022-11-15,134102.7761068344
2022-11-16,130507.40165615082
2022-11-17,127519.65457057953
2022-11-18,129841.24568843842
2022-11-21,128969.05021190643
2022-11-22,129181.14782238007
2022-11-23,131462.4929304123
2022-11-24,133074.13699626923
2022-11-25,134593.87443447113
2022-11-28,133378.55688381195
2022-11-29,131213.79640102386
2022-11-30,131376.94517421722
2022-12-01,135804.4291563034
2022-12-02,136591.30589580536
2022-12-05,137324.99915218353
2022-12-06,135086.99144268036
2022-12-07,133302.4873533249
2022-12-08,133323.596449852
2022-12-09,135796.34217739105
2022-12-12,137165.71757793427
2022-12-13,138063.52768230438
2022-12-14,139144.98889827728
2022-12-15,134677.96582698822
2022-12-16,133072.50954723358
2022-12-19,131265.59133434296
2022-12-20,130496.00737285614
2022-12-21,132618.65353679657
2022-12-22,130748.96762371063
2022-12-23,131949.2910642624
2022-12-27,132735.99495983124
2022-12-28,132274.36477947235
2022-12-29,135375.87020397186
2022-12-30,131684.27061748505
2023-01-02,133708.56301784515
2023-01-03,134430.87347698212
2023-01-04,134666.7270231247
2023-01-05,134358.54654216766
2023-01-09,137661.61825847626
2023-01-10,137665.43094921112
2023-01-11,138591.58139705658
2023-01-12,137451.50779628754
2023-01-13,138025.71228694916
2023-01-16,138885.72587871552
2023-01-17,138710.25809383392
2023-01-18,138997.32975673676
2023-01-19,134103.17448329926
2023-01-20,136189.7801885605
2023-01-23,138433.01157283783
2023-01-24,138477.71691417694
2023-01-25,138227.56457424164
2023-01-26,138784.93133831024
2023-01-27,139742.3642835617
2023-01-30,139768.7788953781
2023-01-31,140356.14829921722
2023-02-01,141059.66971111298
2023-02-02,147242.47919750214
2023-02-03,146333.44735622406
2023-02-06,143856.88094615936
2023-02-07,142438.09164714813
2023-02-08,143109.30144405365
2023-02-09,145082.41686153412
2023-02-10,141683.65833187103
2023-02-13,144720.8889799118
2023-02-14,143637.4295988083
2023-02-15,147727.17643642426
2023-02-16,149811.78669071198
2023-02-17,148590.60170269012
2023-02-20,147473.66776180267
2023-02-21,146017.96896076202
2023-02-22,144426.58985996246
2023-02-23,144170.47639369965
2023-02-24,141341.89809894562
2023-02-27,143805.9274377823
2023-02-28,141417.12953662872
2023-03-01,140812.86645793915
2023-03-02,140683.41595363617
2023-03-03,143245.0679807663
2023-03-06,144304.06028461456
2023-03-07,143151.1469297409
2023-03-08,142697.90325641632
2023-03-09,143292.1367635727
2023-03-10,140801.84336185455
2023-03-13,138671.91997241974
2023-03-14,141031.20199680328
2023-03-15,136463.20841312408
2023-03-16,139577.6022863388
2023-03-17,137136.3991575241
2023-03-20,138398.8359193802
2023-03-21,139869.08837413788
