date,cash,portfolio_value,positions,trades
2020-04-07,16,102645,NIBE-B.ST:10594; EQT.ST:8700; PCELL.ST:11300; NOTE.ST:10246; NEWA-B.ST:8947; CEVI.ST:10419; RATO-B.ST:8931; ELAN-B.ST:8586; HM-B.ST:12356; MEKO.ST:12549,
2020-04-08,16,104716,NIBE-B.ST:10916; EQT.ST:9201; PCELL.ST:11770; NOTE.ST:10119; NEWA-B.ST:8851; CEVI.ST:10626; RATO-B.ST:9198; ELAN-B.ST:8758; HM-B.ST:12566; MEKO.ST:12695,
2020-04-09,16,107366,NIBE-B.ST:10880; EQT.ST:9146; PCELL.ST:12300; NOTE.ST:10646; NEWA-B.ST:9966; CEVI.ST:10978; RATO-B.ST:9278; ELAN-B.ST:8948; HM-B.ST:12498; MEKO.ST:12712,
2020-04-14,39,111826,NEWA-B.ST:10252; RATO-B.ST:9327; MEKO.ST:12790; HPOL-B.ST:15944; SAAB-B.ST:15941; HUSQ-B.ST:15947; ELUX-B.ST:15947; SINT.ST:15638,SELL NIBE-B.ST 276 @ 41.95 fee 69.00; SELL EQT.ST 74 @ 123.31 fee 69.00; SELL PCELL.ST 50 @ 286.80 fee 69.00; SELL NOTE.ST 379 @ 29.14 fee 69.00; SELL CEVI.ST 40 @ 287.09 fee 69.00; SELL ELAN-B.ST 216 @ 46.03 fee 69.00; SELL HM-B.ST 112 @ 113.87 fee 69.00; BUY HPOL-B.ST 316 @ 50.45 fee 69.00; BUY SAAB-B.ST 315 @ 50.61 fee 69.00; BUY HUSQ-B.ST 356 @ 44.80 fee 69.00; BUY ELUX-B.ST 144 @ 110.75 fee 69.00; BUY SINT.ST 140 @ 111.70 fee 69.00
2020-04-15,39,105303,NEWA-B.ST:9425; RATO-B.ST:8648; MEKO.ST:11940; HPOL-B.ST:15033; SAAB-B.ST:14483; HUSQ-B.ST:15429; ELUX-B.ST:15099; SINT.ST:15207,
2020-04-16,39,105162,NEWA-B.ST:8772; RATO-B.ST:8487; MEKO.ST:12175; HPOL-B.ST:14928; SAAB-B.ST:14521; HUSQ-B.ST:15810; ELUX-B.ST:15495; SINT.ST:14935,
2020-04-17,39,110983,NEWA-B.ST:9663; RATO-B.ST:8915; MEKO.ST:12628; HPOL-B.ST:16100; SAAB-B.ST:15590; HUSQ-B.ST:16663; ELUX-B.ST:16111; SINT.ST:15275,
2020-04-20,39,112635,NEWA-B.ST:10030; RATO-B.ST:9012; MEKO.ST:12600; HPOL-B.ST:16256; SAAB-B.ST:15747; HUSQ-B.ST:16967; ELUX-B.ST:16437; SINT.ST:15547,
2020-04-21,102,108216,NEWA-B.ST:9552; RATO-B.ST:8640; MEKO.ST:12555; SINT.ST:14503; PCELL.ST:10500; NOTE.ST:10535; NIBE-B.ST:10551; EQT.ST:10464; BEIJ-B.ST:10522; G5EN.ST:10292,SELL HPOL-B.ST 316 @ 48.97 fee 69.00; SELL SAAB-B.ST 315 @ 47.52 fee 69.00; SELL HUSQ-B.ST 356 @ 48.31 fee 69.00; SELL ELUX-B.ST 144 @ 110.92 fee 69.00; BUY PCELL.ST 42 @ 250.00 fee 69.00; BUY NOTE.ST 332 @ 31.73 fee 69.00; BUY NIBE-B.ST 257 @ 41.05 fee 69.00; BUY EQT.ST 89 @ 117.57 fee 69.00; BUY BEIJ-B.ST 192 @ 54.80 fee 69.00; BUY G5EN.ST 99 @ 103.96 fee 69.00
2020-04-22,102,108092,NEWA-B.ST:8836; RATO-B.ST:8802; MEKO.ST:12085; SINT.ST:14186; PCELL.ST:11298; NOTE.ST:11378; NIBE-B.ST:10582; EQT.ST:10518; BEIJ-B.ST:10117; G5EN.ST:10189,
2020-04-23,102,108491,NEWA-B.ST:8708; RATO-B.ST:8931; MEKO.ST:11828; SINT.ST:14254; PCELL.ST:11273; NOTE.ST:11776; NIBE-B.ST:10653; EQT.ST:10639; BEIJ-B.ST:10668; G5EN.ST:9659,
2020-04-24,102,107633,NEWA-B.ST:8406; RATO-B.ST:8947; MEKO.ST:11990; SINT.ST:13777; PCELL.ST:10853; NOTE.ST:11967; NIBE-B.ST:10575; EQT.ST:10870; BEIJ-B.ST:10803; G5EN.ST:9342,
2020-04-27,102,109625,NEWA-B.ST:8613; RATO-B.ST:9359; MEKO.ST:12477; SINT.ST:13981; PCELL.ST:11122; NOTE.ST:11490; NIBE-B.ST:10832; EQT.ST:10777; BEIJ-B.ST:11372; G5EN.ST:9500,
2020-04-28,100,110670,NEWA-B.ST:8867; RATO-B.ST:9295; MEKO.ST:12605; SINT.ST:14435; BEIJ-B.ST:11417; HM-B.ST:13492; ELAN-B.ST:13570; SAAB-B.ST:13556; ELUX-B.ST:13333,SELL PCELL.ST 42 @ 254.00 fee 69.00; SELL NOTE.ST 332 @ 34.85 fee 69.00; SELL NIBE-B.ST 257 @ 43.36 fee 69.00; SELL EQT.ST 89 @ 120.39 fee 69.00; SELL G5EN.ST 99 @ 105.80 fee 69.00; BUY HM-B.ST 124 @ 108.81 fee 69.00; BUY ELAN-B.ST 345 @ 39.33 fee 69.00; BUY SAAB-B.ST 273 @ 49.66 fee 69.00; BUY ELUX-B.ST 115 @ 115.94 fee 69.00
2020-04-29,100,116025,NEWA-B.ST:9138; RATO-B.ST:9650; MEKO.ST:14205; SINT.ST:14413; BEIJ-B.ST:11631; HM-B.ST:14293; ELAN-B.ST:14032; SAAB-B.ST:14665; ELUX-B.ST:13899,
