date,portfolio_value,cash,positions_count
2022-08-24,1303880061,131284768,9
2022-08-25,1326950109,131284768,9
2022-08-26,1308901609,131284768,9
2022-08-29,1293172798,131284768,9
2022-08-30,1301336131,384531535,7
2022-08-31,1314226469,134723100,9
2022-09-01,1317080613,134723100,9
2022-09-02,1333630248,134723100,9
2022-09-05,1309412417,134723100,9
2022-09-06,1311535623,389283957,7
2022-09-07,1291190452,136028297,9
2022-09-08,1347781863,261655650,8
2022-09-09,1367177459,261655650,8
2022-09-12,1385843171,261655650,8
2022-09-13,1364815643,261655650,8
2022-09-14,1353533320,283395164,8
2022-09-15,1423611610,283395164,8
2022-09-16,1405358021,283395164,8
2022-09-19,1405522244,283395164,8
2022-09-20,1378055853,283395164,8
2022-09-21,1385522513,42,10
2022-09-22,1426822312,42,10
2022-09-23,1404068752,129052730,9
2022-09-26,1391889205,562112759,6
2022-09-27,1429365728,719675171,5
2022-09-28,1451246880,166262476,8
2022-09-29,1464369797,166262476,8
2022-09-30,1519594644,340392650,7
2022-10-03,1536168244,340392650,7
2022-10-04,1592732738,340392650,7
2022-10-05,1541555090,151643995,9
2022-10-06,1608464705,151643995,9
2022-10-07,1595391072,294531635,8
2022-10-10,1588072083,294531635,8
2022-10-11,1583334718,294531635,8
2022-10-12,1575776399,168092222,9
2022-10-13,1689424607,168092222,9
2022-10-14,1696886093,168092222,9
2022-10-17,1736887217,168092222,9
2022-10-18,1758994107,168092222,9
2022-10-19,1737454725,49,10
2022-10-20,1853550074,49,10
2022-10-21,1815926463,49,10
2022-10-24,1850801601,178080517,9
2022-10-25,1893924637,178080517,9
2022-10-26,1907724538,208419481,9
2022-10-27,2021669237,208419481,9
2022-10-28,2014607946,208419481,9
2022-10-31,2011721631,208419481,9
2022-11-01,2035590215,413307950,8
2022-11-02,2035004478,218913663,9
2022-11-03,2130437471,218913663,9
2022-11-04,2137985263,415886078,8
2022-11-07,2135823093,415886078,8
2022-11-08,2146850589,648666194,7
2022-11-09,2149392278,227561096,9
2022-11-10,2281938597,227561096,9
2022-11-11,2313799908,227561096,9
2022-11-14,2316264596,227561096,9
2022-11-15,2297401471,227561096,9
2022-11-16,2236058535,490161945,8
2022-11-17,2421150426,490161945,8
2022-11-18,2448372549,490161945,8
2022-11-21,2436296380,490161945,8
2022-11-22,2441861445,490161945,8
2022-11-23,2476151583,117,10
2022-11-24,2561245911,117,10
2022-11-25,2585113016,117,10
2022-11-28,2571651910,117,10
2022-11-29,2551221617,117,10
2022-11-30,2572733643,561470070,8
2022-12-01,2773621046,561470070,8
2022-12-02,2772538348,561470070,8
2022-12-05,2788278412,561470070,8
2022-12-06,2742424595,561470070,8
2022-12-07,2707178443,62,10
2022-12-08,2818649900,62,10
2022-12-09,2855371572,62,10
2022-12-12,2872000607,62,10
2022-12-13,2896284459,62,10
2022-12-14,2904412318,314454202,9
2022-12-15,2997035744,314454202,9
2022-12-16,2948249271,314454202,9
2022-12-19,2937110573,898111511,7
2022-12-20,2929475925,1211169450,6
2022-12-21,2969288770,305286121,9
2022-12-22,3011887550,305286121,9
2022-12-23,3021962899,305286121,9
2022-12-27,3042536714,305286121,9
2022-12-28,3012209190,305286121,9
2022-12-29,3060693612,316419782,9
2022-12-30,3145681145,316419782,9
2023-01-02,3205589873,316419782,9
2023-01-03,3228478092,316419782,9
2023-01-04,3270950148,316419782,9
2023-01-05,3316407072,354675407,9
2023-01-09,3553148411,354675407,9
2023-01-10,3569504628,354675407,9
2023-01-11,3597845831,354675407,9
2023-01-12,3644206807,354675407,9
2023-01-13,3649341461,782338244,8
2023-01-16,3872434661,782338244,8
2023-01-17,3842983378,782338244,8
2023-01-18,3868960308,782338244,8
2023-01-19,3787957852,782338244,8
2023-01-20,3836047182,406562676,9
2023-01-23,4137969317,406562676,9
2023-01-24,4155108422,406562676,9
2023-01-25,4131550729,406562676,9
2023-01-26,4174617346,406562676,9
2023-01-27,4151932630,436618633,9
2023-01-30,4270564326,436618633,9
2023-01-31,4281210719,436618633,9
2023-02-01,4308874864,436618633,9
2023-02-02,4497448181,436618633,9
2023-02-03,4479607678,468778886,9
2023-02-06,4527951884,468778886,9
2023-02-07,4409367145,468778886,9
2023-02-08,4413220192,1299334127,7
2023-02-09,4512962739,1299334127,7
2023-02-10,4367080112,469217939,9
2023-02-13,4769376096,469217939,9
2023-02-14,4754771133,469217939,9
2023-02-15,4861517170,469217939,9
2023-02-16,4909645328,469217939,9
2023-02-17,4877017106,518285947,9
2023-02-20,5091423381,518285947,9
2023-02-21,4994727775,518285947,9
2023-02-22,4948615788,518285947,9
2023-02-23,4941860369,1580024786,7
2023-02-24,4972992221,1060057544,8
2023-02-27,5258149394,1636678273,7
2023-02-28,5335684165,1636678273,7
2023-03-01,5313685974,1636678273,7
2023-03-02,5348331169,1636678273,7
