date,action,ticker,price,shares,fee,cash_after,reason
2023-10-30,BUY,SKF-B.ST,166.44,28,69,9882,BUY-SIGNAL
2023-10-30,BUY,TEL2-B.ST,71.68,67,69,5010,BUY-SIGNAL
2023-10-30,BUY,TELIA.ST,21.12,228,69,126,BUY-SIGNAL
2023-11-01,SELL,SKA-B.ST,136.75,31,69,4296,STOP-LOSS
2023-11-01,BUY,SHB-A.ST,84.04,25,69,2126,BUY-SIGNAL
2023-11-01,BUY,SKA-B.ST,136.75,15,69,6,BUY-SIGNAL
2024-01-17,SELL,NIBE-B.ST,57.68,466,69,26817,STOP-LOSS
2024-08-05,BUY,ALFA.ST,428.43,31,69,13466,BUY-SIGNAL
2024-08-05,BUY,NIBE-B.ST,43.27,309,69,26,BUY-SIGNAL
2024-08-26,SELL,NIBE-B.ST,51.78,309,69,15958,SELL-SIGNAL
2024-10-09,SELL,BOL.ST,336.20,9,69,18915,SELL-SIGNAL
2024-10-22,SELL,NDA-SE.ST,123.87,25,69,21943,SELL-SIGNAL
2024-12-23,SELL,EVO.ST,818.93,11,69,30882,STOP-LOSS
2025-04-03,SELL,ALFA.ST,402.01,31,69,43275,STOP-LOSS
2025-04-07,BUY,ALFA.ST,372.65,16,69,37244,BUY-SIGNAL
2025-04-07,BUY,BOL.ST,276.30,22,69,31096,BUY-SIGNAL
2025-04-07,BUY,ERIC-B.ST,69.04,89,69,24883,BUY-SIGNAL
2025-04-07,BUY,ESSITY-B.ST,272.70,22,69,18814,BUY-SIGNAL
2025-04-07,BUY,EVO.ST,722.73,8,69,12963,BUY-SIGNAL
2025-04-07,BUY,NDA-SE.ST,112.45,54,69,6822,BUY-SIGNAL
2025-04-07,BUY,NIBE-B.ST,31.78,194,69,587,BUY-SIGNAL
2025-04-30,SELL,EVO.ST,671.35,8,69,5889,STOP-LOSS
2025-05-26,SELL,ABB.ST,549.80,3,69,7470,SELL-SIGNAL
2025-06-25,SELL,ESSITY-B.ST,258.10,22,69,13079,STOP-LOSS
2025-07-30,SELL,TEL2-B.ST,147.30,67,69,22879,SELL-SIGNAL
2025-08-19,SELL,NIBE-B.ST,45.50,194,69,31637,SELL-SIGNAL
