Total trades: 3708
Final portfolio value: 87804365381
Max single position value seen: 10950299274.786922
Max shares for any ticker: 402601398
Trades with shares > 1,000,000 found:
date,action,ticker,price,shares,fee,cash_after,reason 
2024-06-28,SELL,HM-B.ST,169.39999389648438,27639663,3230689.5330156107,18480456018.579094,REBALANCE_OUT_random
2024-06-28,SELL,HEXA-B.ST,118.75,39529059,3238912.2718125,23171292862.55728,REBALANCE_OUT_random
2024-06-28,SELL,SHB-B.ST,121.0999984741211,40326214,3369618.0731682857,28051427698.351192,REBALANCE_OUT_random
2024-06-28,SELL,NOTE.ST,144.60000610351562,33573230,3349735.5914111664,32902767225.674515,REBALANCE_OUT_random
2024-06-28,SELL,AZN.ST,1664.0,3731923,4284844.71168,39108402252.96284,REBALANCE_OUT_random
2024-06-28,BUY,BEIJ-B.ST,162.0951690673828,30158519,3373099.6629275447,34216478917.173035,REBALANCE_IN_random
2024-06-28,BUY,G5EN.ST,107.49592590332031,45476609,3373099.632064806,29324555626.1427,REBALANCE_IN_random
2024-06-28,BUY,RATO-B.ST,34.689476013183594,140923151,3373099.683758557,24432632260.142193,REBALANCE_IN_random
2024-06-28,BUY,SAVE.ST,214.4274444580078,22798155,3373099.5793552115,19540709045.555283,REBALANCE_IN_random
2024-06-28,BUY,SINT.ST,115.37110900878906,42372395,3373099.6397308432,14648785743.407084,REBALANCE_IN_random
2024-06-28,BUY,SOBI.ST,283.6000061035156,17237482,3373099.500282376,9756862643.49756,REBALANCE_IN_random
2024-07-03,SELL,SKA-B.ST,187.0,24697504,3186718.9411199996,14372109172.55644,STOP_LOSS_random
2024-07-05,SELL,SINT.ST,118.5,42372395,3464578.877175,19389773401.179264,REBALANCE_OUT_random
2024-07-05,SELL,BEIJ-B.ST,170.6999969482422,30158519,3552160.7798718177,24534280341.662895,REBALANCE_OUT_random
2024-07-05,SELL,SAVE.ST,231.60000610351562,22798155,3643236.4576327377,29810689942.354156,REBALANCE_OUT_random
2024-07-05,SELL,RATO-B.ST,36.7400016784668,140923151,3572486.5949496324,34984634260.034035,REBALANCE_OUT_random
2024-07-05,SELL,G5EN.ST,117.19999694824219,45476609,3677602.320851318,40310815093.72958,REBALANCE_OUT_random
2024-07-05,BUY,AZN.ST,1613.67578125,3122592,3476807.2487362497,35268487201.35585,REBALANCE_IN_random
2024-07-05,BUY,BULTEN.ST,80.54779052734375,62557294,3476807.751017926,30226158580.535374,REBALANCE_IN_random
2024-07-05,BUY,ELUX-B.ST,86.77999877929688,58064668,3476807.754530592,25183829954.620564,REBALANCE_IN_random
2024-07-05,BUY,EQT.ST,321.7489318847656,15660819,3476807.7321265438,20141501361.197792,REBALANCE_IN_random
2024-07-05,BUY,MEKO.ST,114.71394348144531,43925365,3476807.7682281807,15099172715.417707,REBALANCE_IN_random
2024-07-05,BUY,NIBE-B.ST,46.05384063720703,109412197,3476807.8002392435,10056844023.212767,REBALANCE_IN_random
2024-07-05,BUY,SWED-A.ST,200.31576538085938,25154544,3476807.6965748877,5014515481.349688,REBALANCE_IN_random
2024-07-05,BUY,VOLV-B.ST,259.1038818359375,19339956,3457629.795153999,177.41830348968506,REBALANCE_IN_random
2024-07-08,SELL,CLAS-B.ST,167.0,26344514,3035678.34822,4396498337.070084,STOP_LOSS_random
2024-07-11,SELL,BULTEN.ST,78.19999694824219,62557294,3375466.3379242993,9285103070.622448,STOP_LOSS_random
2024-07-11,SELL,NIBE-B.ST,44.0,109412197,3321754.30092,14095917984.32153,STOP_LOSS_random
2024-07-12,SELL,VOLV-B.ST,269.6000061035156,19339956,3597696.0563927894,19306372543.90686,REBALANCE_OUT_random
2024-07-12,SELL,ELUX-B.ST,89.45999908447266,58064668,3584180.950822944,24497253509.07625,REBALANCE_OUT_random
